session_id,status,blocked_by,wait_type,wait_minutes,cpu_time,logical_reads,reads,writes,elapsed_minutes,command,login_name,host_name,program_name,last_request_end_time,login_time,open_transaction_count,stmt_length,stmt_has_select,stmt_has_insert,stmt_has_update,stmt_has_join,stmt_has_aggregation,cmd_length,cmd_has_select,cmd_has_insert,cmd_has_update,cmd_has_join,cmd_has_aggregation,session_age_minutes,idle_minutes,is_blocked,has_open_txn
54,runnable,0,,0,382380,56536612,307486,332805,8,SELECT,usrAdmin,B0208859FC3E,Data Integration-3f03bdb6-2765-4668-9ff3-6beca15183ba,2026-04-01 07:06:37.667,2026-04-01 07:06:37.670,1,1579,1,0,0,1,0,13,0,0,0,0,0,8.33895,8.339,0,1
56,runnable,0,,0,30741,1387228,2900,45,0,INSERT,usrProdInt,cs-prd-us-app-01,Microsoft JDBC Driver for SQL Server,2026-04-01 07:14:25.707,2026-04-01 06:55:07.347,2,2353,1,1,0,1,0,61,0,0,0,0,0,19.844333333333335,0.5383333333333333,0,1
62,runnable,0,,0,60231,12269,0,35,3,SELECT,usrAdmin,B0208859FC3E,Data Integration-5d61bf10-f531-4f4b-8c50-2439185d7cb2,2026-04-01 07:11:39.693,2026-04-01 07:11:39.697,1,2783,1,0,0,1,0,13,0,0,0,0,0,3.3051666666666666,3.3052333333333332,0,1
65,runnable,0,PREEMPTIVE_HTTP_REQUEST,0,102098,5759603,10415,17655,3,INSERT,usrAdmin,B0208859FC3E,Data Integration-fc31ae6a-55c5-404c-aa52-ab72ec700b99,2026-04-01 07:12:10.030,2026-04-01 07:12:10.033,2,5986,1,1,0,1,0,63,0,0,0,0,0,2.7995666666666663,2.7996166666666666,0,1
67,runnable,0,,0,115515,6261711,5921,18432,4,INSERT,usrAdmin,B0208859FC3E,Data Integration-e745ee1a-1669-4334-b0cf-ad59c6445f09,2026-04-01 07:10:18.010,2026-04-01 07:10:18.010,2,5986,1,1,0,1,0,63,0,0,0,0,0,4.666616666666667,4.666616666666667,0,1
71,runnable,0,,0,69791,593559,170,2220,3,INSERT,usrAdmin,B0208859FC3E,Data Integration-f198167d-54c0-4ea1-bc86-3d0c26745f49,2026-04-01 07:11:28.150,2026-04-01 07:11:28.153,0,5986,1,1,0,1,0,63,0,0,0,0,0,3.4975666666666667,3.4976166666666666,0,0
76,runnable,0,,0,77681,300960,86,1610,4,INSERT,usrAdmin,B0208859FC3E,Data Integration-4eea81ca-9474-43da-9d08-2e4a8a235ce9,2026-04-01 07:10:45.290,2026-04-01 07:10:45.293,0,5986,1,1,0,1,0,63,0,0,0,0,0,4.2119,4.21195,0,0
77,runnable,0,,0,77711,989484,0,1629,4,SELECT,usrAdmin,B0208859FC3E,Data Integration-9886fe27-2c62-422a-a23b-e12f753b13a6,2026-04-01 07:10:45.337,2026-04-01 07:10:45.337,1,2776,1,0,0,1,0,13,0,0,0,0,0,4.211166666666666,4.211166666666666,0,1
81,runnable,0,,0,183975,9551944,24795,35447,4,INSERT,usrAdmin,B0208859FC3E,Data Integration-8c66a245-6eaf-4bf9-8e5c-e6693fd67aba,2026-04-01 07:11:06.590,2026-04-01 07:11:06.593,2,5986,1,1,0,1,0,63,0,0,0,0,0,3.8569,3.85695,0,1
82,runnable,0,,0,92071,4506297,0,6995,4,SELECT,usrAdmin,B0208859FC3E,Data Integration-a8231055-7bc7-4ad1-b228-0fba99deb447,2026-04-01 07:10:28.723,2026-04-01 07:10:28.727,1,2776,1,0,0,1,0,13,0,0,0,0,0,4.4879999999999995,4.488066666666667,0,1
83,runnable,0,,0,44561,5321,0,24,4,SELECT,usrAdmin,B0208859FC3E,Data Integration-563d4ebd-8c8c-42c0-893b-092ddfd7bbb1,2026-04-01 07:11:02.003,2026-04-01 07:11:02.007,1,2783,1,0,0,1,0,13,0,0,0,0,0,3.933333333333333,3.9334,0,1
84,runnable,0,,0,30350,6946,0,32,2,SELECT,usrAdmin,B0208859FC3E,Data Integration-407d0d4e-bb01-465f-baca-9730a183d49d,2026-04-01 07:13:08.603,2026-04-01 07:13:08.607,1,2783,1,0,0,1,0,13,0,0,0,0,0,1.8233333333333335,1.8234,0,1
94,runnable,0,,0,2563,6788,0,29,0,SELECT,usrAdmin,B0208859FC3E,Data Integration-aa9d501d-ff33-4436-b217-8d12e8146836,2026-04-01 07:14:58.007,2026-04-01 07:14:58.007,1,2783,1,0,0,1,0,13,0,0,0,0,0,0.0,0.0,0,1
95,runnable,0,PREEMPTIVE_HTTP_REQUEST,0,27952,2469142,29178,115,4,INSERT,usrAdmin,B0208859FC3E,Data Integration-d4caf513-8880-4c06-a4e9-5ba5db89c59c,2026-04-01 07:11:02.013,2026-04-01 07:11:02.017,2,2290,1,1,0,1,1,53,0,0,0,0,0,3.9331666666666667,3.9332333333333334,0,1
98,runnable,0,,0,219903,32686261,290421,183731,14,SELECT,usrAdmin,B0208859FC3E,Data Integration-ea8d88fc-fa7f-4713-bf29-dd3fae05ee57,2026-04-01 07:00:50.233,2026-04-01 07:00:50.237,1,1579,1,0,0,1,0,13,0,0,0,0,0,14.1295,14.129566666666667,0,1
103,runnable,0,,0,59622,9329,3,30,5,SELECT,usrAdmin,B0208859FC3E,Data Integration-d8c0c053-b467-4544-9973-501b0387875d,2026-04-01 07:09:55.793,2026-04-01 07:09:55.793,1,2783,1,0,0,1,0,13,0,0,0,0,0,5.0369,5.0369,0,1
105,runnable,0,,0,21522,760489,608,51,0,MERGE,usrProdInt,cs-prd-us-app-01,Microsoft JDBC Driver for SQL Server,2026-04-01 07:14:41.460,2026-04-01 07:10:51.803,2,1790,1,1,1,1,0,53,0,0,0,0,0,4.1034,0.2757833333333333,0,1
111,runnable,0,,0,21493,11304,2,51,1,SELECT,usrAdmin,B0208859FC3E,Data Integration-ab96100f-472a-4584-9740-2e5efbb61620,2026-04-01 07:13:37.183,2026-04-01 07:13:37.187,1,2783,1,0,0,1,0,13,0,0,0,0,0,1.347,1.3470666666666666,0,1
119,runnable,0,PREEMPTIVE_HTTP_REQUEST,0,5169415,52247214,44707666,2288462,673,MERGE,usrAdmin,DB52A8841A7E,Data Integration-84c64b23-8e3e-41ea-9ef7-45eba8ca4044,2026-03-31 20:01:40.130,2026-03-31 20:01:40.133,2,1456,1,1,1,1,0,44,0,0,0,0,0,673.2979,673.29795,0,1
121,runnable,0,,0,2722053,152785535,1672526,960707,80,MERGE,usrAdmin,a541804420000FD,Data Integration-6152ae0c-152a-46db-b04d-9345f3222b50,2026-04-01 05:55:06.750,2026-04-01 05:55:06.753,2,2453,1,1,0,1,0,59,0,0,0,0,0,79.85423333333333,79.85428333333333,0,1
123,runnable,0,,0,61716,1069758,0,2065,1,SELECT,usrAdmin,B0208859FC3E,Data Integration-db4c899e-38c5-4702-87f1-b949836d0bb3,2026-04-01 07:13:55.673,2026-04-01 07:13:55.673,1,2776,1,0,0,1,0,13,0,0,0,0,0,1.0389000000000002,1.0389000000000002,0,1
124,runnable,0,,0,98708,2647336,1004,5177,7,INSERT,usrAdmin,B0208859FC3E,Data Integration-13eeda96-b768-46f7-8312-25cd843a1a02,2026-04-01 07:07:15.243,2026-04-01 07:07:15.243,2,5986,1,1,0,1,0,63,0,0,0,0,0,7.712733333333333,7.712733333333333,0,1
127,runnable,0,,0,51341,10031,0,36,2,SELECT,usrAdmin,B0208859FC3E,Data Integration-b8551392-0ce8-46ae-8b63-4c1029ee22ae,2026-04-01 07:12:23.970,2026-04-01 07:12:23.970,1,2783,1,0,0,1,0,13,0,0,0,0,0,2.5672833333333336,2.5672833333333336,0,1
130,runnable,0,,0,36200,7093,0,32,1,SELECT,usrAdmin,B0208859FC3E,Data Integration-c15394c3-a3a9-48db-a7e5-11e48112953a,2026-04-01 07:13:49.133,2026-04-01 07:13:49.133,1,2783,1,0,0,1,0,13,0,0,0,0,0,1.1479,1.1479,0,1
57,running,0,,0,263218,39068969,85400,109267,5,INSERT,usrAdmin,B0208859FC3E,Data Integration-b72d1bda-97df-44df-8899-26f1df8d2b4d,2026-04-01 07:09:10.693,2026-04-01 07:09:10.697,2,5986,1,1,0,1,0,63,0,0,0,0,0,5.7885,5.788566666666667,0,1
60,running,0,,0,59021,2043928,3161,70,0,INSERT,usrProdInt,cs-prd-us-app-01,Microsoft JDBC Driver for SQL Server,2026-04-01 07:14:18.610,2026-04-01 06:48:02.850,2,2353,1,1,0,1,0,61,0,0,0,0,0,26.919283333333333,0.6566166666666666,0,1
75,running,0,,0,22002,6878,0,34,1,SELECT,usrAdmin,B0208859FC3E,Data Integration-7b36f1b9-dd26-4819-a843-d77d62b89a5e,2026-04-01 07:13:35.070,2026-04-01 07:13:35.073,1,2783,1,0,0,1,0,13,0,0,0,0,0,1.3822333333333332,1.3822833333333333,0,1
80,running,0,,0,621008,92253007,263409,619269,17,SELECT,usrAdmin,B0208859FC3E,Data Integration-cb233ea6-33df-499c-b4ca-99f767527fe8,2026-04-01 06:57:26.493,2026-04-01 06:57:26.497,1,1579,1,0,0,1,0,13,0,0,0,0,0,17.525166666666667,17.525233333333333,0,1
102,running,0,,0,42745,2925445,19272,588,1,MERGE,usrProdInt,cs-prd-us-app-01,Microsoft JDBC Driver for SQL Server,2026-04-01 07:13:46.560,2026-04-01 07:05:19.583,2,2092,1,1,1,1,0,13,0,0,0,0,0,9.6404,1.1907833333333333,0,1
120,running,0,,0,51477,6552,0,37,3,SELECT,usrAdmin,B0208859FC3E,Data Integration-8c275937-945b-47dc-883d-ab96195eb894,2026-04-01 07:12:01.470,2026-04-01 07:12:01.470,1,2783,1,0,0,1,0,13,0,0,0,0,0,2.9422833333333336,2.9422833333333336,0,1
153,running,0,,0,216740,11286038,12270,21990,4,INSERT,usrAdmin,B0208859FC3E,Data Integration-9c1c5077-aa99-444e-af6b-9ea1c0d85ade,2026-04-01 07:10:55.470,2026-04-01 07:10:55.473,2,5986,1,1,0,1,0,63,0,0,0,0,0,4.042233333333333,4.042283333333334,0,1
69,suspended,0,WAITFOR,0,23074,1527682,9436,39,1,WAITFOR,usrProdInt,cs-prd-us-app-01,Microsoft JDBC Driver for SQL Server,2026-04-01 07:13:47.727,2026-04-01 06:56:42.280,0,28,0,0,0,0,0,53,0,0,0,0,0,18.262116666666667,1.1713333333333333,0,0
70,suspended,0,CXSYNC_PORT,0,19,3,0,0,0,SELECT,usrProdInt,cs-prd-us-app-01,Microsoft JDBC Driver for SQL Server,2026-04-01 07:15:09.670,2026-04-01 06:52:48.247,0,520,1,0,0,1,1,13,0,0,0,0,0,22.162666666666667,-0.19438333333333332,0,0
72,suspended,0,CXCONSUMER,0,40244,1621121,35990,85,1,SELECT INTO,usrProdInt,cs-prd-us-app-01,Microsoft JDBC Driver for SQL Server,2026-04-01 07:13:59.423,2026-04-01 06:48:20.057,2,1485,1,0,0,1,0,53,0,0,0,0,0,26.6325,0.9764,0,1
152,suspended,0,CXCONSUMER,0,21836,1187428,38593,120,1,SELECT INTO,usrProdInt,cs-prd-us-app-01,Microsoft JDBC Driver for SQL Server,2026-04-01 07:13:49.660,2026-04-01 07:10:54.830,2,1485,1,0,0,1,0,53,0,0,0,0,0,4.05295,1.1391166666666666,0,1
