result_state,workspace_name,workspace_id,trigger_type,pipeline_id,pipeline_name,period_start_time,period_end_time,duration_seconds,environment,pipeline_name_clean,start_hour,start_weekday,start_day,start_month
COMPLETED,workspace1,4233458148361157,USER_ACTION,eeb73bd3-8194-46be-8ac7-f3f2cd576db1,[dev ven_vghattamaneni] onprem_to_cloud_raw_evh_loader_pipeline,2026-03-31 21:00:43.877000+00:00,2026-03-31 21:01:30.287000+00:00,46.41,dev,onprem_to_cloud_raw_evh_loader_pipeline,21.0,1.0,31.0,3.0
COMPLETED,workspace1,4233458148361157,USER_ACTION,eeb73bd3-8194-46be-8ac7-f3f2cd576db1,[dev ven_vghattamaneni] onprem_to_cloud_raw_evh_loader_pipeline,2026-03-31 21:06:55.128000+00:00,2026-03-31 21:07:44.673000+00:00,49.545,dev,onprem_to_cloud_raw_evh_loader_pipeline,21.0,1.0,31.0,3.0
COMPLETED,workspace1,4233458148361157,USER_ACTION,eeb73bd3-8194-46be-8ac7-f3f2cd576db1,[dev ven_vghattamaneni] onprem_to_cloud_raw_evh_loader_pipeline,2026-03-31 20:31:31.255000+00:00,2026-03-31 20:32:21.612000+00:00,50.357,dev,onprem_to_cloud_raw_evh_loader_pipeline,20.0,1.0,31.0,3.0
FAILED,workspace2,990891399948087,SERVICE_UPGRADE,dec33c53-ba41-44b8-8886-dcef75bd4818,dlt_sync_vp_edial_tfne_tables_bronze_to_silver,2026-03-02 19:39:45.478000+00:00,2026-03-02 19:44:50.160000+00:00,304.682,prod,dlt_sync_vp_edial_tfne_tables_bronze_to_silver,19.0,0.0,2.0,3.0
CANCELED,workspace2,990891399948087,SERVICE_UPGRADE,dec33c53-ba41-44b8-8886-dcef75bd4818,dlt_sync_vp_edial_tfne_tables_bronze_to_silver,2026-03-05 18:39:09.075000+00:00,2026-03-13 00:12:56.268000+00:00,624827.193,prod,dlt_sync_vp_edial_tfne_tables_bronze_to_silver,18.0,3.0,5.0,3.0
CANCELED,workspace2,990891399948087,SERVICE_UPGRADE,b5087a67-c415-4240-b82d-865400a1b1a8,dlt_sync_vp_edial_tffl_tables_bronze_to_silver,2026-03-02 19:34:41.872000+00:00,2026-03-05 18:38:29.667000+00:00,255827.795,prod,dlt_sync_vp_edial_tffl_tables_bronze_to_silver,19.0,0.0,2.0,3.0
CANCELED,workspace2,990891399948087,SERVICE_UPGRADE,b5087a67-c415-4240-b82d-865400a1b1a8,dlt_sync_vp_edial_tffl_tables_bronze_to_silver,2026-03-05 18:31:45.547000+00:00,2026-03-13 00:10:38.267000+00:00,625132.72,prod,dlt_sync_vp_edial_tffl_tables_bronze_to_silver,18.0,3.0,5.0,3.0
COMPLETED,workspace1,4233458148361157,USER_ACTION,ce789b62-d8ad-4b3e-b9d8-c01d29ef802a,[dev pvenkatachalam] onprem_to_cloud_raw_evh_loader_pipeline,2026-03-11 20:37:55.931000+00:00,2026-03-11 20:38:32.142000+00:00,36.211,dev,onprem_to_cloud_raw_evh_loader_pipeline,20.0,2.0,11.0,3.0
COMPLETED,workspace1,4233458148361157,USER_ACTION,ce789b62-d8ad-4b3e-b9d8-c01d29ef802a,[dev pvenkatachalam] onprem_to_cloud_raw_evh_loader_pipeline,2026-03-11 20:44:56.919000+00:00,2026-03-11 20:45:29.083000+00:00,32.164,dev,onprem_to_cloud_raw_evh_loader_pipeline,20.0,2.0,11.0,3.0
COMPLETED,workspace1,4233458148361157,USER_ACTION,ce789b62-d8ad-4b3e-b9d8-c01d29ef802a,[dev pvenkatachalam] onprem_to_cloud_raw_evh_loader_pipeline,2026-03-11 20:48:59.650000+00:00,2026-03-11 20:49:58.705000+00:00,59.055,dev,onprem_to_cloud_raw_evh_loader_pipeline,20.0,2.0,11.0,3.0
