animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,processed_time
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-14 05:40:01.331063
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,2026-04-14 05:40:01.331063
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-14 05:40:01.331063
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2026-04-14 05:40:01.331063
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-14 05:40:01.331063
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2026-04-14 05:40:01.331063
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,2026-04-14 05:40:01.331063
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,2026-04-14 05:40:01.331063
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2026-04-14 05:40:01.331063
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2026-04-14 05:40:01.331063
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2026-04-14 05:40:01.331063
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,2026-04-14 05:40:01.331063
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,2026-04-14 05:40:01.331063
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,2026-04-14 05:40:01.331063
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-14 05:40:01.331063
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2026-04-14 05:40:01.331063
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-14 05:40:01.331063
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,2026-04-14 05:40:01.331063
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-14 05:40:01.331063
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,2026-04-14 05:40:01.331063
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,2026-04-14 05:40:01.331063
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-14 05:40:01.331063
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,2026-04-14 05:40:01.331063
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,2026-04-14 05:40:01.331063
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2026-04-14 05:40:01.331063
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2026-04-14 05:40:01.331063
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2026-04-14 05:40:01.331063
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2026-04-14 05:40:01.331063
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-14 05:40:01.331063
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2026-04-14 05:40:01.331063
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,2026-04-14 05:40:01.331063
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2026-04-14 05:40:01.331063
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2026-04-14 05:40:01.331063
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2026-04-14 05:40:01.331063
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
