animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,processed_time
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,2026-04-21T18:15:18.734Z
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2026-04-21T18:15:18.734Z
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2026-04-21T18:15:18.734Z
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,2026-04-21T18:15:18.734Z
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2026-04-21T18:15:18.734Z
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2026-04-21T18:15:18.734Z
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2026-04-21T18:15:18.734Z
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,2026-04-21T18:15:18.734Z
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,2026-04-21T18:15:18.734Z
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,2026-04-21T18:15:18.734Z
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,2026-04-21T18:15:18.734Z
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,2026-04-21T18:15:18.734Z
