stage_is_copy,csv_size_mb,row_count,column_count,size_hint_ord,transform_count,agg_count,has_filter,has_join,has_groupby,has_aggregation,has_distinct,has_sort,stage_index,n_stages,is_final_stage,rec_workers,rec_diu,rec_memory_gb,rec_shuffle_partitions,rec_node_type
1,173.389176,822882,8,1,0,0,0,0,0,0,0,0,0,5,0,0,2,3.0,8,Standard_D4s_v3
0,173.389176,822882,8,1,3,0,1,0,0,0,0,0,1,5,0,3,0,4.26,8,Standard_D4s_v3
0,173.389176,822882,8,1,2,0,1,1,0,0,0,0,2,5,0,4,0,4.67,8,Standard_D4s_v3
0,173.389176,822882,8,1,1,0,1,0,0,0,0,0,3,5,0,2,0,4.26,8,Standard_D4s_v3
0,173.389176,822882,8,1,2,0,1,0,0,0,0,0,4,5,1,3,0,4.32,8,Standard_D4s_v3
1,6.108334,45654,11,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3.0,8,Standard_D4s_v3
0,6.108334,45654,11,0,5,0,0,0,0,0,0,0,1,6,0,1,0,4.01,8,Standard_D4s_v3
0,6.108334,45654,11,0,2,0,1,0,0,0,0,0,2,6,0,0,0,4.01,8,Standard_D4s_v3
0,6.108334,45654,11,0,5,0,0,0,0,0,0,0,3,6,0,1,0,4.01,8,Standard_D4s_v3
0,6.108334,45654,11,0,7,0,1,1,0,0,1,0,4,6,0,1,0,4.02,8,Standard_D4s_v3
0,6.108334,45654,11,0,1,3,1,0,1,1,0,0,5,6,1,1,0,4.01,8,Standard_D4s_v3
1,606.966186,2922541,13,2,0,0,0,0,0,0,0,0,0,3,0,0,3,4.5,8,Standard_D4s_v3
0,606.966186,2922541,13,2,1,0,0,0,0,0,0,0,1,3,0,4,0,4.7,8,Standard_D4s_v3
0,606.966186,2922541,13,2,8,0,1,0,0,0,0,0,2,3,1,4,0,4.61,8,Standard_D4s_v3
1,809.987018,6419068,7,2,0,0,0,0,0,0,0,0,0,5,0,0,3,4.5,8,Standard_D4s_v3
0,809.987018,6419068,7,2,3,0,1,0,0,0,0,0,1,5,0,4,0,4.74,8,Standard_D4s_v3
0,809.987018,6419068,7,2,1,0,0,0,0,0,0,0,2,5,0,4,0,4.91,8,Standard_D4s_v3
0,809.987018,6419068,7,2,5,0,0,1,0,0,0,0,3,5,0,4,0,5.33,16,Standard_D4s_v3
0,809.987018,6419068,7,2,6,1,0,0,1,1,0,0,4,5,1,4,0,5.92,32,Standard_D4s_v3
1,99.956897,917124,8,1,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,99.956897,917124,8,1,4,0,1,0,0,0,1,1,1,3,0,4,0,4.12,8,Standard_D4s_v3
0,99.956897,917124,8,1,0,0,0,0,0,0,0,0,2,3,1,2,0,4.1,8,Standard_D4s_v3
1,3.226612,28604,21,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,3.226612,28604,21,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4.0,8,Standard_D4s_v3
0,3.226612,28604,21,0,5,0,1,0,0,0,0,1,2,3,1,1,0,4.0,8,Standard_D4s_v3
1,474.818547,3291205,26,2,0,0,0,0,0,0,0,0,0,5,0,0,2,3.0,8,Standard_D4s_v3
0,474.818547,3291205,26,2,6,0,0,0,0,0,1,0,1,5,0,4,0,4.7,8,Standard_D4s_v3
0,474.818547,3291205,26,2,0,0,1,0,0,0,0,0,2,5,0,4,0,4.55,8,Standard_D4s_v3
0,474.818547,3291205,26,2,1,0,0,0,0,0,0,0,3,5,0,4,0,4.42,8,Standard_D4s_v3
0,474.818547,3291205,26,2,3,0,1,1,0,0,0,0,4,5,1,4,0,4.82,8,Standard_D4s_v3
1,1.669869,11934,12,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,1.669869,11934,12,0,2,0,0,0,0,0,1,0,1,2,1,0,0,4.0,8,Standard_D4s_v3
1,1.520368,9383,7,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3.0,8,Standard_D4s_v3
